"","Domain","Phylum","Class","Order","Family","Genus","Species","Trophic.Mode","Guild","Trait","Confidence.Ranking","Notes","Citation.Source","Genus_species"
"ASV776","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Hyperphyscia","adglutinata","Symbiotroph","Lichenized","NULL","Highly Probable","Lichenized with green algae, often on nitrogen-rich substrata (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Hyperphyscia_adglutinata"
"ASV777","Fungi","Ascomycota","Sordariomycetes","Sordariales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV778","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV779","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","NA","NA","Saprotroph-Symbiotroph","Ectomycorrhizal-Undefined Saprotroph","NULL","Probable","Many species are cellulolytic, occurring on paper, straw etc. Others are mycorrhizal associated with roots of Ericaceae and Epacridaceae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV780","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","raduloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Xylodon_raduloides"
"ASV781","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Lentomitella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Lentomitella_NA"
"ASV782","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Phaeoisaria","NA","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Tedersoo L, et al. 2014. Science 346:1256688","Phaeoisaria_NA"
"ASV783","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","NA","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471","Exophiala_NA"
"ASV784","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecanora","intumescens","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Lecanora_intumescens"
"ASV785","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Parafenestella","mackenziei","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Parafenestella_mackenziei"
"ASV786","Fungi","Ascomycota","Dothideomycetes","Pleosporales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV787","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Physcia","stellaris","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Physcia_stellaris"
"ASV788","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV790","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","fimeti","Pathotroph-Saprotroph","Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph","Microfungus","Probable","Associated with leaf and crown infection of pyrethrum (Moslemi et al. 2017)","Quaedvlieg W et al. 2013. Studies in Mycology 75:307-390; Moslemi A et al. 2017. Plant Pathology 67:124-135","Paraphoma_fimeti"
"ASV792","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomonodictydaceae","Pleomonodictys","descalsii","-","-","-","-","Unassigned","-","Pleomonodictys_descalsii"
"ASV795","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","brevicompactum","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_brevicompactum"
"ASV796","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","tassiana","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Mycosphaerella_tassiana"
"ASV797","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Hyperphyscia","adglutinata","Symbiotroph","Lichenized","NULL","Highly Probable","Lichenized with green algae, often on nitrogen-rich substrata (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Hyperphyscia_adglutinata"
"ASV798","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Stypella","subgelatinosa","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stypella_subgelatinosa"
"ASV799","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV801","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Barbatosphaeria","neglecta","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Barbatosphaeria_neglecta"
"ASV802","Fungi","Ascomycota","Lecanoromycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV803","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","NA","NA","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV804","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV805","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV806","Fungi","Ascomycota","Sordariomycetes","Hypocreales","NA","NA","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV807","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Diddensiella","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Diddensiella_NA"
"ASV808","Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV810","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV811","Fungi","Basidiomycota","Tremellomycetes","Tremellales","NA","NA","NA","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV814","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","pertusa","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Pertusaria_pertusa"
"ASV815","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV816","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Durella","macrospora","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Durella_macrospora"
"ASV817","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Phialocephala","oblonga","Symbiotroph","Endophyte","NULL","Highly Probable","Dark Septate Endophyte, known from plant roots.","Newsham 2011. New Phytologist 190:783-793 (as DSE)","Phialocephala_oblonga"
"ASV819","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV820","Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV821","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Myxarium","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Myxarium_NA"
"ASV822","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","NA","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Costa IPMW, et al. 2012. Mycotaxon 119:26; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Xylaria_NA"
"ASV823","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","glycines","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","Soft Rot","Highly Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Coniothyrium_glycines"
"ASV824","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV826","Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV827","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV828","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","acerina","Pathotroph-Saprotroph","Fungal Parasite-Wood Saprotroph","NULL","Highly Probable","On fungi or dead wood in terrestrial habitats (Thambugala et al. 2015)","Thambugala KM, et al. 2015. Fungal Diversity 74:199-266","Angustimassarina_acerina"
"ASV829","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","aprilis","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Orbilia_aprilis"
"ASV830","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV831","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","microstomus","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Cryptodiscus_microstomus"
"ASV832","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Phaeophyscia","denigrata","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Phaeophyscia_denigrata"
"ASV833","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","ostrea","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_ostrea"
"ASV834","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Calycina","claroflava","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Calycina_claroflava"
"ASV835","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Melanchlenus","eumetabolus","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Melanchlenus_eumetabolus"
"ASV836","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Calycina","claroflava","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Calycina_claroflava"
"ASV837","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Occultibambusaceae","Brunneofusispora","sinensis","-","-","-","-","Unassigned","-","Brunneofusispora_sinensis"
"ASV838","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV839","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Dacrymyces","stenosporus","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Worrall JJ, et al. 1997. Mycologia 89:199-219","Dacrymyces_stenosporus"
"ASV840","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Stypella","subgelatinosa","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stypella_subgelatinosa"
"ASV841","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_NA"
"ASV842","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","NA","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Orbilia_NA"
"ASV843","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","NA","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Costa IPMW, et al. 2012. Mycotaxon 119:26; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Xylaria_NA"
"ASV844","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV845","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","coronilla","Saprotroph-Symbiotroph","Ectomycorrhizal-Wood Saprotroph","White Rot","Possible","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/not ECM).; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 pro parte.; http://mycorrhizas.info/ecmf.html (ECM/not ECM).","Sistotrema_coronilla"
"ASV847","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Fuscoporia","ferruginosa","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Fuscoporia_ferruginosa"
"ASV848","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","NA","NA","Saprotroph","Wood Saprotroph","White Rot","Probable","Saprobic, causing white rot of standing and fallen wood of coniferous and broadleaved trees, rarely on herbaceous stems (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV849","Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV850","Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV851","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Exidia","glandulosa","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); David AS, et al. 2016. Microbial Ecology 71:912-926","Exidia_glandulosa"
"ASV852","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","NA","NA","Pathotroph-Saprotroph-Symbiotroph","Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph","NULL","Probable","Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV853","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Phialocephala","oblonga","Symbiotroph","Endophyte","NULL","Highly Probable","Dark Septate Endophyte, known from plant roots.","Newsham 2011. New Phytologist 190:783-793 (as DSE)","Phialocephala_oblonga"
"ASV854","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Rhamphoria","pyriformis","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Rhamphoria_pyriformis"
"ASV855","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Phaeoisaria","NA","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Tedersoo L, et al. 2014. Science 346:1256688","Phaeoisaria_NA"
"ASV856","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Exidia","glandulosa","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); David AS, et al. 2016. Microbial Ecology 71:912-926","Exidia_glandulosa"
"ASV857","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV858","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Hyperphyscia","adglutinata","Symbiotroph","Lichenized","NULL","Highly Probable","Lichenized with green algae, often on nitrogen-rich substrata (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Hyperphyscia_adglutinata"
"ASV859","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Scheffersomyces","lignosus","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Scheffersomyces_lignosus"
"ASV860","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Melanchlenus","eumetabolus","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Melanchlenus_eumetabolus"
"ASV861","Fungi","Ascomycota","Lecanoromycetes","Candelariales","Candelariaceae","Candelariella","NA","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Candelariella_NA"
"ASV862","Fungi","Ascomycota","Sordariomycetes","Microascales","Graphiaceae","Graphium","NA","Pathotroph-Saprotroph","Animal Pathogen-Lichen Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","NULL","Probable","Some (e.g., G. basitruncatum) likely opportunistic human pathogen (Irinyi et al. 2015)","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Graphium_NA"
"ASV863","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","NA","Pathotroph-Saprotroph","Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","NULL","Probable","NULL","Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Mycena_NA"
"ASV865","Fungi","Ascomycota","Sordariomycetes","Xenospadicoidales","Xenospadicoidaceae","Pseudodiplococcium","ibericum","-","-","-","-","Unassigned","-","Pseudodiplococcium_ibericum"
"ASV866","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV867","Fungi","Basidiomycota","Agaricomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV868","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecidella","f._elaeochroma","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Lecidella_f._elaeochroma"
"ASV869","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Chaetospermum","NA","Symbiotroph","Ectomycorrhizal","NULL","Probable","Terrestrial forming mycorrhizas with a wide range of plants including orchids, Ericaceae and liverworts as well as ectomycorrhizas with conifers and angiosperm trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Chaetospermum_NA"
"ASV870","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","xanthostigma","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Orbilia_xanthostigma"
"ASV873","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV874","Fungi","Ascomycota","Sordariomycetes","Xenospadicoidales","Xenospadicoidaceae","Pseudodiplococcium","ibericum","-","-","-","-","Unassigned","-","Pseudodiplococcium_ibericum"
"ASV875","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","lignicola","Saprotroph","Wood Saprotroph","Soft Rot","Probable","NULL","Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Scytalidium_lignicola"
"ASV876","Fungi","Ascomycota","Lecanoromycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV877","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","NA","Pathotroph-Saprotroph","Bryophyte Parasite-Litter Saprotroph-Wood Saprotroph","White Rot","Probable","NULL","Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; James TY, et al. 2006. Nature 443:818-822; Tedersoo L, et al. 2014. Science 346:1256688","Pluteus_NA"
"ASV878","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV879","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","NA","Saprotroph","Wood Saprotroph","Soft Rot","Probable","NULL","Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Scytalidium_NA"
"ASV880","Fungi","Ascomycota","Dothideomycetes","Hysteriales","Hysteriaceae","Hysterobrevium","constrictum","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hysterobrevium_constrictum"
"ASV883","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomonodictydaceae","Pleomonodictys","descalsii","-","-","-","-","Unassigned","-","Pleomonodictys_descalsii"
